"location","beta.locationPunta.Espinoza","se.locationPunta.Espinoza","W.locationPunta.Espinoza","p_val.locationPunta.Espinoza","q_val.locationPunta.Espinoza","diff_abn.locationPunta.Espinoza"
"gene_33",2.27491386770968,1.03250535481027,2.20329498255019,0.0275739643930411,0.909940824970358,FALSE
"gene_52",-2.21418570145578,0.996577214640398,-2.22179041315403,0.0262974729174086,0.894114079191892,FALSE
"gene_56",-1.91616007478015,0.891789748280399,-2.14866797748573,0.0316607288587206,1,FALSE
"gene_75",-3.58440787018929,0.845995026586555,-4.23691364315906,2.26613242968054e-05,0.000997098269059439,TRUE
"gene_134",4.66322126281817,1.21939961180531,3.82419447871918,0.000131200325675479,0.00537921335269464,TRUE
"gene_196",3.16603549523098,1.29892401339171,2.4374293358115,0.0147921050139021,0.532515780500477,FALSE
"gene_209",-2.5593534006439,1.03779047683453,-2.46615618255665,0.0136571770395571,0.505315550463612,FALSE
"gene_213",-2.50345835759745,0.912560552604238,-2.74333396337717,0.00608187964790356,0.237193306268239,FALSE
"gene_218",-3.86254413282927,0.924863242158428,-4.17634084344723,2.96235840959062e-05,0.00127381411612397,TRUE
"gene_220",-1.9559984157676,0.956416468586072,-2.04513251288874,0.0408417956699131,1,FALSE
"gene_231",-2.30960099342263,1.08884301141136,-2.12115150597232,0.0339090547032493,1,FALSE
"gene_286",-2.80181983578852,0.860701813033697,-3.25527353766458,0.00113283200850867,0.0453132803403469,TRUE
"gene_293",-2.37488951875314,1.05897451095073,-2.24263142709734,0.0249205919158286,0.872220717054001,FALSE
"gene_304",-2.05032079963857,0.78250920163129,-2.62018746279825,0.00878814429502004,0.333949483210761,FALSE
"gene_327",-2.63977876423664,0.67946838786869,-3.88506487037155,0.000102302568451297,0.00429670787495449,TRUE
