"island","beta.islandRabida","se.islandRabida","W.islandRabida","p_val.islandRabida","q_val.islandRabida","diff_abn.islandRabida"
"gene_37",4.82277839262945,0.776720312854592,6.20915703222031,5.32695721163497e-10,2.34386117311939e-08,TRUE
"gene_39",6.30652881702397,1.29924894734318,4.85398031679774,1.21007752151267e-06,4.84031008605069e-05,TRUE
"gene_56",-4.80111618961469,2.43769690173546,-1.96952959418239,0.048892307617675,1,FALSE
"gene_137",4.26858849000284,1.59471788559262,2.67670446827439,0.00743501841701611,0.252790626178548,FALSE
"gene_165",-3.15190787647229,0.727601355409263,-4.33191589465828,1.47817410744326e-05,0.00057648790190287,TRUE
"gene_174",-1.88679307737886,0.685943036129197,-2.75065563465169,0.00594761310469456,0.20816645866431,FALSE
"gene_177",4.44998808637846,0.748222721859759,5.94741105337955,2.72416707648534e-09,1.14415017212384e-07,TRUE
"gene_196",-4.25983632999541,0.803633483633231,-5.30072031187235,1.15346679721082e-07,4.72921386856435e-06,TRUE
"gene_199",2.51611315423991,0.746753428013821,3.36940288433915,0.000753312318883784,0.0278725557987,TRUE
"gene_205",3.28106814432635,1.63872396968072,2.00220916092759,0.0452622408413006,1,FALSE
"gene_209",4.30107216588382,0.719911746416078,5.97444365548382,2.30876710246579e-09,9.9276985406029e-08,TRUE
"gene_213",4.58056806756593,0.65254477922501,7.01954595821915,2.22590392089268e-12,1.02391580361063e-10,TRUE
"gene_220",4.5847700649779,1.54919059332962,2.95946159544129,0.00308177110901175,0.110943759924423,FALSE
"gene_227",3.03448113715191,1.47381946210238,2.05892323665158,0.0395015927085787,1,FALSE
"gene_293",3.56925885157044,1.4641081236751,2.43783829476414,0.0147753818609466,0.487587601411237,FALSE
"gene_308",-2.18951516828688,0.644207814884516,-3.39877151083519,0.000676892397997852,0.0257219111239184,TRUE
"gene_327",3.57151838781385,0.541592776092907,6.59447198239803,4.26771995520843e-11,1.92047397984379e-09,TRUE
